                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8338,                 2.3113,                 1.8761,                0.92445,                0.80143,                 0.8781,                0.46168,                 1.5851,                 1.1366,                 1.6889,               0.070112,              0.0033208,              0.0033208
                      1,                 1.5466,                 1.3068,                 1.6567,                0.87534,                0.78705,                0.83766,                 0.3325,                 2.0068,                 1.1854,                 2.0953,               0.040079,              0.0066212,              0.0066212
                      2,                 1.5648,                 1.2924,                 1.6355,                0.92305,                0.81904,                0.88756,                0.38771,                 1.9012,                 1.0338,                 2.0177,               0.010013,              0.0098886,              0.0098886
                      3,                 1.5401,                 1.2611,                 1.6407,                0.89377,                0.80103,                0.86238,                0.40725,                 1.6703,                 1.1204,                 1.7766,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.4995,                 1.1931,                 1.5967,                0.93516,                0.83747,                0.89803,                0.43688,                 1.7356,                0.87575,                 1.8167,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.472,                 1.1211,                 1.5708,                0.93488,                0.81424,                0.90292,                0.51839,                 1.4603,                0.84456,                 1.5832,               0.009802,               0.009802,               0.009802
                      6,                 1.4245,                 1.0479,                 1.5501,                0.95395,                0.87373,                0.92468,                0.53172,                 1.4724,                0.76115,                 1.5879,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4184,                 1.0416,                 1.5356,                0.95818,                0.89719,                0.94788,                0.57844,                 1.3265,                0.68339,                 1.4787,               0.009703,               0.009703,               0.009703
                      8,                 1.3956,                 1.0231,                 1.5209,                0.85921,                0.63046,                0.71426,                0.39839,                 1.6771,                 1.2614,                  1.657,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.3922,                 1.0053,                 1.5093,                0.95717,                0.87711,                0.93948,                0.60728,                 1.2378,                0.68018,                 1.4217,               0.009604,               0.009604,               0.009604
                     10,                 1.3544,                0.95959,                 1.4881,                0.95038,                 0.9102,                0.94953,                0.57032,                  1.347,                0.68012,                 1.5027,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3485,                0.94658,                 1.4872,                0.97475,                0.88589,                0.95353,                0.59088,                 1.3025,                0.64524,                 1.4706,               0.009505,               0.009505,               0.009505
                     12,                  1.343,                  0.919,                 1.4822,                0.95774,                0.87914,                0.94503,                0.53597,                 1.4281,                0.71643,                 1.5477,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.3265,                 0.9107,                 1.4669,                0.97282,                0.90007,                0.95083,                0.60633,                 1.2692,                0.63761,                 1.4223,               0.009406,               0.009406,               0.009406
                     14,                 1.3039,                0.90018,                 1.4506,                0.96754,                0.89196,                0.95046,                0.61585,                 1.2153,                 0.6085,                 1.4016,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.3065,                0.88266,                 1.4501,                0.97031,                0.90479,                0.95561,                0.61294,                 1.2456,                0.59592,                 1.4117,               0.009307,               0.009307,               0.009307
                     16,                 1.2908,                0.87132,                 1.4385,                0.96878,                0.90108,                0.95903,                0.61526,                 1.2551,                0.60394,                 1.4314,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.2966,                0.87117,                  1.438,                0.96006,                0.91155,                0.96012,                0.63206,                 1.1915,                0.57935,                 1.3922,               0.009208,               0.009208,               0.009208
                     18,                 1.2683,                0.85349,                 1.4281,                 0.9554,                0.89675,                 0.9546,                0.64202,                 1.1616,                0.60728,                 1.3613,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.2771,                0.85786,                 1.4442,                0.97264,                0.91198,                0.96242,                0.65497,                 1.1112,                0.55147,                 1.3254,               0.009109,               0.009109,               0.009109
                     20,                 1.2714,                 0.8452,                  1.431,                0.96409,                0.90631,                0.95653,                0.64451,                 1.1374,                0.58069,                 1.3485,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.2574,                0.82413,                 1.4192,                0.97646,                0.89624,                0.94897,                0.64029,                 1.1267,                 0.5867,                 1.3428,                0.00901,                0.00901,                0.00901
                     22,                 1.2399,                0.80789,                 1.4081,                0.96773,                0.92438,                0.96612,                0.65044,                 1.1304,                0.54479,                 1.3464,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.2533,                0.81868,                 1.4134,                0.96916,                 0.9102,                0.96118,                0.65683,                 1.1115,                 0.5464,                 1.3327,               0.008911,               0.008911,               0.008911
                     24,                 1.2319,                 0.8024,                 1.4127,                  0.967,                0.91222,                0.96181,                0.64701,                 1.1368,                0.54891,                 1.3645,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.2288,                0.80811,                 1.4072,                0.97668,                0.90474,                0.96195,                0.66221,                 1.0781,                0.53443,                 1.3153,               0.008812,               0.008812,               0.008812
                     26,                 1.2345,                  0.792,                  1.409,                0.97143,                0.91823,                0.96138,                0.65826,                 1.0989,                0.54448,                 1.3289,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.2255,                0.79785,                 1.3993,                 0.9755,                0.91406,                0.96126,                0.65716,                 1.1166,                0.52681,                 1.3322,               0.008713,               0.008713,               0.008713
                     28,                 1.2137,                0.77434,                 1.3937,                0.98042,                0.92573,                0.96378,                0.64538,                  1.147,                0.51461,                 1.3497,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.2204,                0.77917,                 1.3874,                0.97138,                0.92302,                0.96364,                0.66971,                 1.0821,                 0.5164,                 1.3084,               0.008614,               0.008614,               0.008614
                     30,                 1.1996,                 0.7746,                  1.377,                0.97496,                0.92014,                0.96574,                0.67099,                 1.0893,                0.51053,                 1.3185,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.2127,                0.78366,                 1.3904,                0.98293,                0.91627,                0.96392,                0.64238,                 1.1514,                0.54838,                 1.3502,               0.008515,               0.008515,               0.008515
                     32,                 1.1954,                0.76696,                 1.3873,                0.97681,                0.93248,                0.96826,                0.65675,                 1.1263,                0.50879,                 1.3382,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.2144,                0.76675,                 1.3958,                0.97997,                0.92486,                0.96842,                0.65575,                 1.1299,                0.50578,                 1.3408,               0.008416,               0.008416,               0.008416
                     34,                 1.1928,                 0.7612,                 1.3692,                  0.978,                0.93038,                0.96809,                0.66953,                 1.1203,                0.48863,                 1.3388,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.1854,                 0.7471,                   1.37,                0.97518,                0.92846,                0.96831,                0.67992,                 1.0786,                0.49112,                 1.2932,               0.008317,               0.008317,               0.008317
                     36,                 1.1909,                0.74653,                 1.3794,                0.96709,                0.92505,                0.96541,                0.68162,                 1.0653,                0.49636,                 1.2887,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.1987,                0.76286,                 1.3872,                0.96176,                0.93408,                0.96733,                0.66726,                 1.0914,                0.48572,                 1.3097,               0.008218,               0.008218,               0.008218
                     38,                 1.1887,                0.75106,                  1.375,                0.98705,                0.92602,                0.96614,                0.67848,                 1.0613,                0.49514,                 1.2946,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1696,                0.74081,                  1.363,                0.97612,                0.93822,                0.97403,                0.68059,                 1.0548,                0.47992,                 1.2928,               0.008119,               0.008119,               0.008119
                     40,                  1.185,                0.74485,                 1.3675,                0.97946,                0.93372,                0.97377,                0.64284,                 1.1793,                0.50066,                 1.3663,              0.0080695,              0.0080695,              0.0080695
                     41,                  1.173,                0.72397,                 1.3702,                  0.978,                 0.9318,                0.97188,                0.68157,                 1.0665,                0.48346,                 1.2917,                0.00802,                0.00802,                0.00802
                     42,                 1.1788,                0.74141,                 1.3828,                0.97477,                0.93931,                0.97396,                0.68015,                 1.0602,                0.47353,                 1.2954,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1624,                0.72977,                 1.3667,                0.97911,                0.93113,                0.97266,                0.68286,                  1.039,                0.47847,                 1.2822,               0.007921,               0.007921,               0.007921
                     44,                 1.1691,                 0.7318,                 1.3691,                0.97805,                0.93259,                0.96688,                0.68252,                 1.0487,                0.49328,                 1.2916,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.1704,                 0.7361,                 1.3723,                0.96939,                0.94126,                0.97027,                0.69119,                 1.0377,                0.46952,                 1.2809,               0.007822,               0.007822,               0.007822
                     46,                  1.167,                0.73301,                 1.3583,                0.97987,                0.94328,                0.97715,                0.69015,                 1.0571,                0.45807,                 1.2959,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.1553,                0.72964,                  1.354,                0.98132,                0.94058,                 0.9772,                0.69154,                 1.0659,                0.45987,                 1.2987,               0.007723,               0.007723,               0.007723
                     48,                 1.1592,                0.71943,                 1.3595,                0.97919,                0.93585,                0.97586,                0.68656,                 1.0475,                0.46183,                   1.28,              0.0076735,              0.0076735,              0.0076735
                     49,                  1.158,                0.73208,                 1.3621,                0.97693,                0.93315,                0.97409,                 0.6878,                 1.0431,                0.46054,                 1.2756,               0.007624,               0.007624,               0.007624
                     50,                 1.1452,                0.70341,                 1.3391,                 0.9686,                0.93723,                0.97039,                0.68315,                 1.0499,                0.46857,                 1.2781,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.146,                0.70831,                 1.3525,                0.98066,                0.93045,                0.96945,                0.68067,                 1.0606,                0.46041,                 1.2899,               0.007525,               0.007525,               0.007525
                     52,                 1.1565,                0.71458,                  1.352,                0.98586,                0.94164,                0.97739,                0.68525,                 1.0785,                0.45429,                 1.3027,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.1392,                 0.6995,                  1.345,                0.96917,                0.94531,                0.97682,                0.68667,                 1.0575,                0.45128,                 1.2869,               0.007426,               0.007426,               0.007426
                     54,                 1.1386,                0.70818,                 1.3486,                0.97887,                0.94463,                0.97688,                0.69648,                 1.0416,                0.44444,                 1.2708,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1448,                0.71905,                  1.344,                0.97482,                0.94107,                0.97385,                0.69489,                 1.0458,                0.45451,                 1.2773,               0.007327,               0.007327,               0.007327
                     56,                 1.1366,                0.69283,                 1.3483,                 0.9741,                0.93946,                0.97389,                0.69263,                 1.0384,                  0.442,                 1.2697,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.1423,                0.69822,                 1.3474,                 0.9815,                0.93149,                 0.9737,                0.69398,                 1.0248,                0.47469,                 1.2634,               0.007228,               0.007228,               0.007228
                     58,                 1.1544,                0.70018,                 1.3565,                0.98024,                0.93809,                 0.9722,                0.68606,                 1.0374,                0.45474,                 1.2709,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.1277,                0.68822,                 1.3312,                0.97071,                0.94733,                0.97586,                0.70338,                 1.0218,                0.44179,                 1.2618,               0.007129,               0.007129,               0.007129
                     60,                 1.1469,                  0.687,                 1.3399,                0.97551,                0.94137,                0.97306,                0.69967,                 1.0279,                0.44524,                 1.2593,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1395,                0.70079,                 1.3433,                0.97953,                0.94261,                 0.9777,                0.70785,                 1.0125,                 0.4321,                 1.2551,                0.00703,                0.00703,                0.00703
                     62,                 1.1245,                0.69034,                 1.3385,                0.98457,                0.93113,                0.97606,                0.70316,                 1.0128,                0.43404,                 1.2564,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1243,                0.67895,                 1.3407,                0.98249,                 0.9372,                0.97702,                 0.6963,                  1.042,                0.43933,                  1.273,               0.006931,               0.006931,               0.006931
                     64,                 1.1081,                0.67453,                 1.3276,                0.98377,                0.93991,                0.97795,                0.70164,                 1.0111,                0.43019,                 1.2575,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.1266,                0.68498,                 1.3313,                0.98149,                0.94531,                 0.9769,                0.70718,                 1.0094,                0.42144,                 1.2568,               0.006832,               0.006832,               0.006832
                     66,                 1.1143,                0.68386,                  1.328,                0.97497,                0.94671,                0.97377,                0.67931,                 1.0721,                0.45086,                 1.2852,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.1204,                0.67907,                 1.3245,                0.97973,                0.94801,                0.98056,                0.70362,                 1.0297,                0.41988,                 1.2661,               0.006733,               0.006733,               0.006733
                     68,                 1.1168,                0.67336,                 1.3289,                0.98072,                0.94666,                0.97542,                0.70249,                 1.0229,                0.42879,                 1.2586,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.1049,                0.66903,                 1.3186,                0.97465,                0.94868,                0.97886,                0.70248,                 1.0095,                0.42594,                 1.2569,               0.006634,               0.006634,               0.006634
                     70,                 1.0975,                0.66614,                 1.3221,                 0.9715,                0.94531,                0.97663,                0.70783,                0.99883,                0.42069,                 1.2536,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.1259,                  0.684,                  1.331,                0.98371,                0.93774,                0.97567,                0.70329,                 1.0135,                0.42589,                 1.2589,               0.006535,               0.006535,               0.006535
                     72,                 1.1159,                0.67524,                 1.3271,                0.98107,                0.94499,                0.97848,                0.71251,                 1.0146,                0.41983,                 1.2517,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.1162,                0.68772,                 1.3225,                0.98733,                0.94463,                0.97835,                0.69842,                 1.0167,                0.42607,                  1.254,               0.006436,               0.006436,               0.006436
                     74,                 1.1077,                0.66813,                  1.327,                0.98176,                0.94492,                0.97607,                0.70836,                 1.0065,                0.41481,                 1.2527,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.1093,                0.66196,                 1.3164,                0.97977,                0.95409,                0.97727,                 0.6997,                 1.0127,                0.41551,                 1.2592,               0.006337,               0.006337,               0.006337
                     76,                 1.0961,                0.65655,                 1.3097,                0.98282,                0.94868,                0.97801,                0.70631,                 1.0077,                0.41342,                 1.2493,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.1111,                0.66143,                 1.3256,                0.97693,                 0.9437,                0.97746,                0.71407,                0.99784,                0.41481,                  1.243,               0.006238,               0.006238,               0.006238
                     78,                 1.0972,                0.65901,                 1.3141,                0.98112,                0.94598,                0.97538,                0.71004,                0.99662,                0.41559,                 1.2404,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0826,                0.65544,                 1.3028,                0.98044,                0.94753,                0.97493,                0.70324,                 1.0155,                0.41585,                 1.2507,               0.006139,               0.006139,               0.006139
                     80,                 1.0976,                0.65317,                 1.3138,                0.98658,                0.94344,                0.97588,                0.71374,                0.98933,                  0.412,                 1.2381,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.0866,                0.65437,                 1.3001,                0.98391,                0.94969,                0.97484,                0.70963,                 1.0017,                0.41293,                 1.2471,                0.00604,                0.00604,                0.00604
                     82,                    1.1,                0.65731,                 1.3121,                0.97223,                0.94936,                0.97793,                 0.7089,                0.99676,                0.40871,                 1.2385,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.0891,                0.65108,                  1.307,                0.97501,                0.94839,                0.97904,                0.70798,                 1.0019,                0.41242,                  1.247,               0.005941,               0.005941,               0.005941
                     84,                 1.0868,                0.65163,                 1.3032,                 0.9825,                0.94771,                0.98026,                0.70764,                 1.0069,                0.41023,                 1.2477,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.0704,                0.64222,                 1.2951,                0.97905,                0.94649,                0.97982,                0.71209,                 1.0164,                0.40134,                 1.2572,               0.005842,               0.005842,               0.005842
                     86,                 1.0857,                0.64774,                  1.311,                0.97993,                0.95602,                0.98119,                0.71069,                 1.0012,                0.39394,                 1.2481,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.0857,                0.63918,                 1.3006,                0.97949,                0.94598,                 0.9769,                0.71119,                0.99324,                0.40744,                  1.239,               0.005743,               0.005743,               0.005743
                     88,                 1.0852,                0.65302,                 1.3078,                0.98439,                0.94261,                0.97622,                0.70598,                 1.0013,                 0.4064,                 1.2466,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.0795,                0.64823,                 1.3092,                0.97514,                0.95341,                0.98025,                0.71594,                0.98828,                0.39775,                 1.2359,               0.005644,               0.005644,               0.005644
                     90,                 1.0857,                0.63661,                 1.3008,                 0.9833,                0.95394,                0.97977,                0.70682,                 1.0017,                0.40437,                  1.244,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.0766,                 0.6496,                 1.2982,                0.98521,                0.94449,                0.97835,                0.71558,                0.97815,                0.39709,                 1.2314,               0.005545,               0.005545,               0.005545
                     92,                  1.071,                0.63973,                 1.3027,                0.98512,                0.94733,                0.97981,                0.71154,                0.98439,                0.39485,                 1.2363,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.0567,                0.62612,                 1.2873,                0.98367,                0.95273,                 0.9807,                0.71544,                0.98771,                 0.3888,                 1.2368,               0.005446,               0.005446,               0.005446
                     94,                 1.0692,                0.63379,                 1.2947,                 0.9772,                0.95138,                0.97685,                0.71104,                0.98706,                0.39702,                 1.2374,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.0565,                0.61387,                 1.2783,                0.97754,                0.95273,                0.97986,                0.71879,                0.97624,                0.39318,                 1.2341,               0.005347,               0.005347,               0.005347
                     96,                  1.063,                0.63665,                 1.2899,                0.98415,                0.94531,                0.97833,                0.71482,                0.97805,                0.39506,                 1.2328,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.0663,                0.64425,                  1.289,                 0.9851,                0.94598,                0.97858,                0.71276,                0.97178,                0.40078,                 1.2244,               0.005248,               0.005248,               0.005248
                     98,                 1.0565,                0.61436,                 1.2734,                0.97417,                0.95206,                 0.9799,                0.71205,                0.98134,                0.39677,                 1.2325,              0.0051985,              0.0051985,              0.0051985
